'Flipkart Search Result 0': 'SAMSUNG Galaxy S25 Ultra 5G (Titanium Gray, 512 GB)',
'Flipkart Search Result 1': 'SAMSUNG S25 Ultra 5G (Titanium Black, 512 GB)',
'Flipkart Search Result 2': 'SAMSUNG Galaxy S25 Ultra 5G (Titanium Whitesilver, 256 GB)',
'Flipkart Search Result 3': 'SAMSUNG Galaxy S25 Ultra 5G (Titanium Silverblue, 512 GB)',
'Flipkart Search Result 4': 'SAMSUNG S25 Ultra 5G (Titanium Gray, 256 GB)',
'Flipkart Search Result 5': 'SAMSUNG S25 Ultra 5G (Titanium Silverblue, 1024 GB)',
'Flipkart Search Result 6': 'SAMSUNG Galaxy S25 Ultra 5G (Titanium Whitesilver, 512 GB)',
'Flipkart Search Result 7': 'SAMSUNG Galaxy S25 Ultra 5G (Titanium Whitesilver, 512 GB)',
'Flipkart Search Result 8': 'SAMSUNG Galaxy S25 Ultra 5G (Titanium Silverblue, 256 GB)',
'Flipkart Search Result 9': 'SAMSUNG Galaxy S25 Ultra 5G (Titanium Black, 256 GB)',
'Flipkart Search Result 10': 'SAMSUNG Galaxy S25 Ultra 5G (Titanium Silverblue, 512 GB)',
'Flipkart Search Result 11': 'SAMSUNG Galaxy S25 Ultra 5G (Titanium Black, 512 GB)',
'Flipkart Search Result 12': 'SAMSUNG Galaxy S25 Ultra 5G (Titanium Silverblue, 1024 GB)',
'Flipkart Search Result 13': 'SAMSUNG Galaxy S24+ 5G (Onyx Black, 256 GB)',
'Flipkart Search Result 14': 'SAMSUNG Galaxy S24+ 5G (Onyx Black, 512 GB)',
'Flipkart Search Result 15': 'Samsung Galaxy S21 FE 5G with Snapdragon 888 (Graphite, 256 GB)',
'Flipkart Search Result 16': 'SAMSUNG Galaxy A55 5G (Awesome Iceblue, 256 GB)',
'Flipkart Search Result 17': 'SAMSUNG Galay F54 5G (Meteor Blue, 256 GB)',
'Flipkart Search Result 18': 'SAMSUNG Galaxy A55 5G (Awesome Navy, 256 GB)',
'Flipkart Search Result 19': 'SAMSUNG Galaxy S24 5G (Amber Yellow, 256 GB)',
'Flipkart Search Result 20': 'SAMSUNG Galay Z Flip5 (Lavender, 512 GB)',
'Flipkart Search Result 21': 'SAMSUNG Galaxy A25 5G (Blue, 128 GB)',
'Flipkart Search Result 22': 'SAMSUNG Galaxy S24 5G (Marble Gray, 128 GB)',
'Flipkart Search Result 23': 'SAMSUNG S24 5G (Onyx Black, 256 GB)'
